Tank Type	Tank Facility ID	Tank Owner ID	Tank Number	Install Date	Tank Status	Foundation Type Concrete Coating/RPB	Foundation Type Concrete	Foundation Type Steel/Saddle/Runner/Beam	Foundation Type Earthen	Foundation Type Ring Wall	Foundation Type Unknown	Foundation Type Other	Foundation Type Other Specify	Roof Type N/A Horizontal Tank	Roof Type Floating	Roof Type Fixed Cone-Welded/Bolted	Roof Type Other	Roof Type Other Specify						
AST	1000792	33757	3	3/20/1995	CLOSED IN PLACE	N	Y	N	N	N	N	N		N	N	N	Y	None - Horizontal Tank						
AST	1000861	47471	1	8/1/1971	CURR IN USE	N	N	Y	N	N	N	N		N	N	N	Y	None						
AST	1001003	31843	1	5/17/1993	CURR IN USE	N	Y	N	N		N	N		Y	N	N	N							
AST	1001005	31843	1	12/1/1998	CURR IN USE	N	Y	N	N	N	N	N		Y	N	N	N							
AST	1001051	34574	1		DISMANTLED	N	Y	N	N	N	N	N		N	N	N	Y							
AST	1001051	34574	2		DISMANTLED	N	N	N	N	N	N	N		N	N	N	Y							
AST	1001051	40161	3		PERM OUT OF USE	N	N	Y	N	N	N	N		N	N	N	N							
AST	1001051	40161	4		PERM OUT OF USE	N	N	Y	N	N	N	N		N	N	N	N							
AST	1001051	40161	5		CLOSED IN PLACE	N	N	Y	N	N	N	N		N	N	N	N							
AST	1001051	40161	6		PERM OUT OF USE	N	N	Y	N	N	N	N		N	N	N	N							
AST	1001057	32548	3		CURR IN USE	N	N	N	N	N	N	N		N	N	N	N							
AST	1001095	42205	1		DISMANTLED	N	Y	N	N	N	N	N		N	N	N	N	Unknown						
AST	1001095	42205	2		DISMANTLED	N	Y	N	N	N	N	N		N	N	N	N	Unknown						
AST	1001281	30063	1	5/1/1982	CURR IN USE	Y	N	N	N	N	N	N		N	N	N	N							
AST	1001281	30063	2	5/1/1982	CURR IN USE	Y	N	N	N	N	N	N		N	N	N	N							
AST	1001281	30063	3	5/1/1982	CURR IN USE	Y	N	N	N	N	N	N		N	N	N	N							
AST	1001285	31070	1	11/1/1992	CURR IN USE	Y	N	N	N	N	N	N		N	N	N	Y	Vaulted AST System						
AST	1001285	31070	2	11/1/2002	CURR IN USE	Y	N	N	N	N	N	N		N	N	N	Y	Vaulted AST System						
AST	1001451	40964	1	1/26/1999	CURR IN USE	N	Y	N	N	N	N	N		N	N	N	Y	Steel Ribbed Roof						
AST	1001451	40964	2	1/26/1999	CURR IN USE	N	Y	N	N	N	N	N		N	N	N	Y	Steel Ribbed Roof						
AST	1001451	40964	3	3/25/1976	PERM OUT OF USE	N	N	N	N	N	N	N		N	N	N	N							
AST	1001737	37150	1	8/15/1984	CURR IN USE	Y	N	N	N	N	N	N		N	N	N	Y	WELDED CONSTRUCTION WITH TOP VENT						
AST	1001866	27642	157	10/10/1992	CURR IN USE	N	N	Y	N	N	N	N		N	N	N	N							
AST	1001866	27642	158		CURR IN USE	N	N	Y	N	N	N	N		N	N	N	N							
AST	1001877	36322	1877	1/1/1977	CURR IN USE	N	Y	N	N	N	N	N		N	N	N	Y	Horizontal						
AST	1001919	34903	2	6/2/1993	CLOSED IN PLACE	N	Y	N	N	N	N	N		N	N	N	N							
AST	1001919	34903	2	6/2/1993	CLOSED IN PLACE	N	Y	N	N	N	N	N		N	N	N	N							
AST	1001919	34903	2	6/2/1993	CLOSED IN PLACE	N	Y	N	N	N	N	N		N	N	N	N							
AST	1001919	34903	2	6/2/1993	CLOSED IN PLACE	N	Y	N	N	N	N	N		N	N	N	N							
AST	1001919	34903	2	6/2/1993	CLOSED IN PLACE	N	N	N	N	N	N	N		N	N	N	N							
AST	1001919	34903	2	6/2/1993	CLOSED IN PLACE	N	N	N	N	N	N	N		N	N	N	N							
AST	1001919	34903	2	6/2/1993	CLOSED IN PLACE	N	N	N	N	N	N	N		N	N	N	N							
AST	1001919	34903	4	12/29/1993	CLOSED IN PLACE	N	Y	N	N	N	N	N		N	N	N	N							
AST	1001919	34903	4	12/29/1993	CLOSED IN PLACE	N	Y	N	N	N	N	N		N	N	N	N							
AST	1002032	34025	1	5/19/1983	PERM OUT OF USE	Y	N	N	N	N	N	N		N	N	N	N							
AST	1002032	34025	2	5/19/1983	PERM OUT OF USE	Y	N	N	N	N	N	N		N	N	N	N							
AST	1002038	36632	1		CURR IN USE	Y	N	N	N	N	N	Y	Containment	N	N	N	Y	Horizontal Tank						
AST	1002123	32232	1	10/1/1992	CURR IN USE	N	N	N	N	N	Y	N		N	N	N	N							
AST	1002241	41899	6912	9/1/1995	CURR IN USE	N	Y	N	N	N	N	N		N	N	Y	N							
AST	1002364	29862	5	11/1/1986	DISMANTLED	N	N	N	N	N	N	Y	ASPHALT	N	N	N	Y	HORIZONTAL TANK ON METAL CRADLES						
AST	1002377	34574	1		PERM OUT OF USE	N	N	N	N	N	Y	N		N	N	N	Y	Horizontal Tank						
AST	1002377	34574	2		PERM OUT OF USE	N	N	N	N	N	Y	N		N	N	N	Y	Horizontal Tank						
AST	1002377	34574	3		PERM OUT OF USE	N	N	N	N	N	Y	N		N	N	N	Y	Horizontal Tank						
AST	1002377	41435	DR01	10/1/1998	CURR IN USE	N	Y	N	N	N	N	N		N	N	N	N							
AST	1002377	41435	DR02	4/24/2004	CURR IN USE	N	N	N	N	N	Y	N		N	N	N	N							
AST	1002917	32305	002	1/1/2016	CURR IN USE	N	Y	N	N	N	N	N		N	N	Y	N							
AST	1002917	32305	600001-por	10/1/1991	DISMANTLED	N	N	N	Y	N	N	N		N	N	N	Y	Horizontal Tank						
AST	1002917	32305	600002port	10/1/1991	DISMANTLED	N	N	N	Y	N	N	N		N	N	N	Y	Horizontal Tank						
AST	1002917	32305	800000port	2/18/2003	CURR IN USE	N	Y	N	N	N	N	N		N	N	N	Y	None						
AST	1002917	32305	800001	4/1/1993	DISMANTLED	N	N	N	Y	N	N	N		N	N	N	Y	None						
AST	1002917	32305	8000021C	5/1/1993	DISMANTLED	N	N	N	Y	N	N	N		N	N	N	Y	None						
AST	1002917	32305	8000022C	5/1/1993	DISMANTLED	N	N	N	Y	N	N	N		N	N	N	Y	None						
